policy_no,policy_type,idv_sum_insured,status,next_renewal,balance_amount
POL-11503832,Private Car Package - Standard,550000,Active,10/3/2025,464117
POL-11506327,Private Car Package - Zero Depreciation,489999,Active,7/14/2025,447566
POL-11538657,Private Car Package - Zero Depreciation,1275000,Active,8/15/2025,1118303
POL-12030128,Private Car Package - Zero Depreciation,935000,Active,1/26/2026,884553
POL-12202595,Private Car Package - Zero Depreciation,840000,Active,10/29/2026,737479
POL-12256214,Private Car Package - Zero Depreciation,750000,Active,1/22/2025,642947
POL-12259146,Private Car Package - Zero Depreciation,840000,Active,7/27/2025,840000
POL-12261304,Private Car Package - Standard,600000,Active,6/23/2026,513525
POL-12405172,Private Car Package - Zero Depreciation,840000,Active,4/6/2025,724088
POL-12457662,Private Car Package - Standard,600000,Active,6/1/2026,534245
POL-12546897,Private Car Package - Zero Depreciation,1050000,Active,2/10/2026,980712
POL-12548971,Private Car Package - Zero Depreciation,770000,Active,9/24/2026,770000
POL-12854257,Private Car Package - Zero Depreciation,595000,Active,7/4/2026,509207
POL-12884905,Private Car Package - Standard,350000,Active,9/11/2025,350000
POL-12902494,Private Car Package - Zero Depreciation,600000,Flagged,1/26/2026,451572
POL-13158179,Private Car Package - Standard,600000,Active,12/12/2025,391492
POL-13344164,Private Car Package - Zero Depreciation,840000,Active,8/18/2026,790270
POL-13491989,Private Car Package - Zero Depreciation,489999,Active,12/5/2025,489999
POL-13573408,Private Car Package - Standard,600000,Active,1/28/2025,600000
POL-13887488,Private Car Package - Standard,350000,Active,6/3/2026,308856
POL-13966972,Private Car Package - Zero Depreciation,840000,Active,3/25/2026,840000
POL-14092681,Private Car Package - Zero Depreciation,1050000,Active,3/12/2025,679087
POL-14112430,Private Car Package - Zero Depreciation,1050000,Active,10/3/2025,1050000
POL-14370791,Private Car Package - Standard,750000,Active,5/17/2026,648678
POL-14457071,Private Car Package - Zero Depreciation,350000,Active,8/9/2026,350000
POL-14635128,Private Car Package - Zero Depreciation,840000,Active,2/27/2025,840000
POL-14682038,Private Car Package - Standard,750000,Flagged,10/14/2025,461943
POL-14771297,Private Car Package - Zero Depreciation,550000,Active,9/29/2025,467806
POL-14945759,Private Car Package - Zero Depreciation,350000,Active,1/29/2026,302581
POL-14979798,Private Car Package - Standard,600000,Active,1/12/2025,600000
POL-14982515,Private Car Package - Zero Depreciation,840000,Active,5/31/2025,625381
POL-15313627,Private Car Package - Zero Depreciation,489999,Flagged,3/25/2025,268111
POL-15478429,Private Car Package - Standard,750000,Active,3/31/2026,750000
POL-15496682,Private Car Package - Zero Depreciation,935000,Active,1/9/2026,656375
POL-15521174,Private Car Package - Zero Depreciation,935000,Active,7/26/2025,795493
POL-15554026,Private Car Package - Zero Depreciation,1050000,Flagged,2/18/2026,541152
POL-15798997,Private Car Package - Zero Depreciation,770000,Active,7/31/2025,669227
POL-16009733,Private Car Package - Zero Depreciation,935000,Active,4/14/2026,763340
POL-16187058,Private Car Package - Zero Depreciation,840000,Active,7/31/2025,586505
POL-16254585,Private Car Package - Standard,600000,Active,9/24/2026,425815
POL-16346344,Private Car Package - Zero Depreciation,770000,Active,7/22/2026,593020
POL-16496763,Private Car Package - Standard,350000,Active,9/21/2026,307466
POL-16714105,Private Car Package - Standard,350000,Flagged,3/16/2026,172246
POL-16723208,Private Car Package - Zero Depreciation,840000,Flagged,3/22/2025,410947
POL-17014590,Private Car Package - Standard,750000,Active,5/19/2025,750000
POL-17254784,Private Car Package - Zero Depreciation,840000,Active,1/29/2026,840000
POL-17265704,Private Car Package - Zero Depreciation,840000,Active,4/28/2026,711060
POL-17327985,Private Car Package - Zero Depreciation,489999,Active,7/9/2026,348004
POL-17359923,Private Car Package - Zero Depreciation,750000,Active,2/10/2025,750000
POL-18005876,Private Car Package - Zero Depreciation,600000,Active,3/6/2026,537216
POL-18067941,Private Car Package - Zero Depreciation,489999,Active,5/14/2025,489999
POL-18087685,Private Car Package - Zero Depreciation,489999,Active,5/3/2025,404784
POL-18099580,Private Car Package - Zero Depreciation,1275000,Active,3/22/2025,1182776
POL-18143707,Private Car Package - Standard,750000,Active,6/5/2026,750000
POL-18144703,Private Car Package - Zero Depreciation,600000,Active,8/9/2026,600000
POL-18227429,Private Car Package - Zero Depreciation,595000,Active,12/21/2025,595000
POL-18332867,Private Car Package - Zero Depreciation,770000,Active,8/11/2026,657526
POL-18392693,Private Car Package - Zero Depreciation,840000,Active,4/10/2026,840000
POL-18484975,Private Car Package - Zero Depreciation,770000,Active,2/1/2025,516312
POL-18496180,Private Car Package - Zero Depreciation,550000,Flagged,12/29/2025,259174
POL-18503218,Private Car Package - Zero Depreciation,489999,Active,8/22/2026,489999
POL-18558727,Private Car Package - Zero Depreciation,1050000,Flagged,2/28/2025,865542
POL-18559704,Private Car Package - Zero Depreciation,840000,Flagged,2/9/2025,499180
POL-18941984,Private Car Package - Zero Depreciation,935000,Active,1/28/2026,821489
POL-19124357,Private Car Package - Zero Depreciation,1050000,Active,11/2/2026,1050000
POL-19357133,Private Car Package - Zero Depreciation,1275000,Active,2/13/2026,1180496
POL-19549263,Private Car Package - Standard,550000,Active,4/8/2025,444088
POL-19571298,Private Car Package - Zero Depreciation,770000,Active,10/9/2025,486511
POL-19596882,Private Car Package - Zero Depreciation,595000,Flagged,1/22/2026,333433
POL-19597662,Private Car Package - Standard,550000,Flagged,5/16/2025,396459
POL-19718619,Private Car Package - Standard,550000,Flagged,9/16/2026,272582
POL-19777299,Private Car Package - Standard,600000,Active,11/29/2025,502117
POL-19991281,Private Car Package - Standard,750000,Active,5/21/2026,628556
POL-20036000,Private Car Package - Zero Depreciation,750000,Active,5/26/2025,750000
POL-20052386,Private Car Package - Zero Depreciation,770000,Active,3/17/2026,770000
POL-20100862,Private Car Package - Zero Depreciation,750000,Active,11/8/2026,627858
POL-20176638,Private Car Package - Zero Depreciation,489999,Active,3/3/2025,403560
POL-20214807,Private Car Package - Zero Depreciation,770000,Active,11/29/2026,557226
POL-20221290,Private Car Package - Zero Depreciation,489999,Active,11/4/2025,423126
POL-20349445,Private Car Package - Zero Depreciation,1050000,Active,10/29/2025,674623
POL-20601659,Private Car Package - Zero Depreciation,840000,Active,7/7/2026,751659
POL-20635768,Private Car Package - Standard,550000,Active,11/5/2026,450841
POL-20788415,Private Car Package - Zero Depreciation,750000,Active,4/21/2025,653493
POL-20858108,Private Car Package - Zero Depreciation,750000,Active,5/26/2026,750000
POL-20937262,Private Car Package - Standard,350000,Flagged,2/27/2025,249883
POL-21076501,Private Car Package - Standard,600000,Active,3/11/2026,600000
POL-21078895,Private Car Package - Standard,600000,Active,2/17/2026,600000
POL-21144370,Private Car Package - Zero Depreciation,935000,Flagged,11/18/2026,460334
POL-21152816,Private Car Package - Standard,600000,Active,1/18/2026,600000
POL-21178002,Private Car Package - Standard,600000,Active,4/5/2025,600000
POL-21225320,Private Car Package - Standard,550000,Active,1/8/2026,550000
POL-21238048,Private Car Package - Zero Depreciation,600000,Active,6/15/2026,600000
POL-21241128,Private Car Package - Zero Depreciation,840000,Flagged,7/1/2026,573378
POL-21371621,Private Car Package - Zero Depreciation,1275000,Active,12/13/2025,1062596
POL-21386297,Private Car Package - Zero Depreciation,1050000,Active,3/4/2025,743865
POL-21407217,Private Car Package - Zero Depreciation,770000,Active,11/9/2025,647281
POL-21477174,Private Car Package - Zero Depreciation,489999,Flagged,9/2/2025,208666
POL-21518762,Private Car Package - Zero Depreciation,489999,Active,3/29/2025,424701
POL-21528855,Private Car Package - Zero Depreciation,840000,Active,12/11/2025,775091
POL-21543162,Private Car Package - Zero Depreciation,489999,Active,4/27/2026,489999
POL-21609148,Private Car Package - Zero Depreciation,1020000,Active,9/13/2026,898753
POL-21681992,Private Car Package - Zero Depreciation,600000,Active,3/22/2026,600000
POL-21702215,Private Car Package - Zero Depreciation,770000,Active,11/18/2025,770000
POL-21863068,Private Car Package - Zero Depreciation,770000,Active,4/24/2026,722609
POL-22083454,Private Car Package - Zero Depreciation,489999,Active,4/6/2026,414626
POL-22122215,Private Car Package - Zero Depreciation,489999,Active,3/27/2026,308688
POL-22131160,Private Car Package - Zero Depreciation,840000,Active,3/11/2026,733598
POL-22229721,Private Car Package - Zero Depreciation,935000,Active,6/15/2026,935000
POL-22465852,Private Car Package - Zero Depreciation,489999,Active,4/9/2026,489999
POL-22703442,Private Car Package - Zero Depreciation,1050000,Active,9/20/2025,1050000
POL-22875473,Private Car Package - Zero Depreciation,935000,Active,6/11/2025,935000
POL-23110229,Private Car Package - Standard,350000,Active,4/14/2025,327618
POL-23151729,Private Car Package - Zero Depreciation,550000,Flagged,3/31/2026,445988
POL-23371385,Private Car Package - Zero Depreciation,935000,Active,11/1/2025,705213
POL-23509693,Private Car Package - Zero Depreciation,935000,Active,8/21/2026,865704
POL-23591145,Private Car Package - Zero Depreciation,489999,Active,11/2/2026,372986
POL-23594965,Private Car Package - Zero Depreciation,489999,Flagged,11/10/2026,317002
POL-23850226,Private Car Package - Standard,750000,Active,4/13/2026,660121
POL-23917950,Private Car Package - Zero Depreciation,840000,Active,8/31/2025,703671
POL-23936357,Private Car Package - Zero Depreciation,770000,Active,10/10/2025,659052
POL-24096980,Private Car Package - Zero Depreciation,840000,Active,7/6/2026,683426
POL-24137045,Private Car Package - Zero Depreciation,840000,Active,4/18/2026,758724
POL-24178200,Private Car Package - Zero Depreciation,770000,Active,7/24/2025,712140
POL-24330930,Private Car Package - Standard,750000,Active,4/17/2025,664964
POL-24574330,Private Car Package - Standard,550000,Active,2/9/2026,550000
POL-24598710,Private Car Package - Standard,550000,Flagged,1/17/2025,308111
POL-24700038,Private Car Package - Zero Depreciation,770000,Active,8/24/2025,770000
POL-24732528,Private Car Package - Zero Depreciation,770000,Active,3/2/2026,685436
POL-24811635,Private Car Package - Standard,550000,Active,1/22/2026,511423
POL-24912576,Private Car Package - Zero Depreciation,1050000,Active,3/22/2025,1050000
POL-24975872,Private Car Package - Zero Depreciation,770000,Active,3/3/2025,697635
POL-25039609,Private Car Package - Standard,350000,Active,10/25/2025,224997
POL-25256110,Private Car Package - Zero Depreciation,1050000,Active,1/9/2026,1050000
POL-25327200,Private Car Package - Zero Depreciation,1050000,Active,10/6/2026,919983
POL-25433441,Private Car Package - Standard,550000,Active,4/1/2025,550000
POL-25691683,Private Car Package - Standard,600000,Active,1/3/2026,600000
POL-25882975,Private Car Package - Zero Depreciation,1050000,Active,5/13/2026,1050000
POL-25939409,Private Car Package - Standard,600000,Flagged,9/10/2026,285530
POL-26001664,Private Car Package - Zero Depreciation,1050000,Active,8/20/2026,1050000
POL-26063267,Private Car Package - Zero Depreciation,489999,Active,2/20/2025,422779
POL-26069216,Private Car Package - Zero Depreciation,935000,Active,5/5/2025,885559
POL-26133072,Private Car Package - Zero Depreciation,550000,Active,11/22/2026,485331
POL-26180988,Private Car Package - Zero Depreciation,770000,Active,7/27/2026,770000
POL-26230650,Private Car Package - Zero Depreciation,770000,Active,11/14/2025,610111
POL-26272282,Private Car Package - Zero Depreciation,350000,Active,11/3/2025,299240
POL-26382715,Private Car Package - Zero Depreciation,840000,Active,4/10/2026,724862
POL-26765896,Private Car Package - Zero Depreciation,600000,Active,6/29/2025,600000
POL-26858818,Private Car Package - Standard,550000,Active,1/16/2026,448264
POL-26876747,Private Car Package - Zero Depreciation,1275000,Active,12/31/2025,1006833
POL-27211413,Private Car Package - Zero Depreciation,1050000,Active,4/14/2025,1050000
POL-27219601,Private Car Package - Standard,600000,Active,6/12/2025,562026
POL-27308304,Private Car Package - Standard,350000,Active,1/15/2026,350000
POL-27482173,Private Car Package - Standard,350000,Active,4/14/2025,231220
POL-27498256,Private Car Package - Zero Depreciation,1050000,Active,6/15/2025,1050000
POL-27539441,Private Car Package - Zero Depreciation,750000,Active,7/24/2026,601803
POL-27605975,Private Car Package - Zero Depreciation,350000,Active,3/26/2025,308664
POL-27639161,Private Car Package - Standard,750000,Active,12/6/2025,617762
POL-27729048,Private Car Package - Zero Depreciation,750000,Active,7/18/2026,750000
POL-27730412,Private Car Package - Zero Depreciation,550000,Active,9/30/2026,550000
POL-28126480,Private Car Package - Zero Depreciation,1020000,Active,7/3/2025,631520
POL-28361391,Private Car Package - Zero Depreciation,1050000,Active,6/18/2026,926779
POL-28419839,Private Car Package - Zero Depreciation,550000,Active,7/28/2025,442485
POL-28478056,Private Car Package - Zero Depreciation,1050000,Active,2/2/2026,963182
POL-28513383,Private Car Package - Zero Depreciation,489999,Active,3/3/2026,489999
POL-28553452,Private Car Package - Zero Depreciation,935000,Active,8/16/2025,665741
POL-28575898,Private Car Package - Standard,350000,Active,11/2/2026,329541
POL-28596090,Private Car Package - Standard,600000,Active,1/28/2026,512191
POL-28788291,Private Car Package - Zero Depreciation,1050000,Active,8/27/2026,697323
POL-28890834,Private Car Package - Zero Depreciation,1275000,Active,9/4/2026,1275000
POL-29022491,Private Car Package - Zero Depreciation,600000,Active,1/10/2025,600000
POL-29113477,Private Car Package - Zero Depreciation,750000,Active,10/3/2025,654217
POL-29159523,Private Car Package - Zero Depreciation,935000,Active,10/10/2025,935000
POL-29243830,Private Car Package - Standard,750000,Active,5/6/2026,647029
POL-29355200,Private Car Package - Zero Depreciation,595000,Active,1/8/2026,485580
POL-29538392,Private Car Package - Standard,750000,Active,4/7/2026,545977
POL-29635556,Private Car Package - Zero Depreciation,1050000,Active,3/22/2025,819216
POL-29703636,Private Car Package - Zero Depreciation,489999,Active,5/4/2026,446408
POL-29705949,Private Car Package - Zero Depreciation,770000,Active,2/2/2025,629170
POL-29762644,Private Car Package - Zero Depreciation,840000,Active,10/23/2025,760666
POL-29905245,Private Car Package - Standard,350000,Active,11/11/2026,350000
POL-29926532,Private Car Package - Zero Depreciation,840000,Active,3/3/2026,706680
POL-29940808,Private Car Package - Zero Depreciation,1050000,Flagged,3/14/2025,547268
POL-29989252,Private Car Package - Zero Depreciation,1050000,Active,8/13/2026,1050000
POL-30393646,Private Car Package - Zero Depreciation,1275000,Active,1/28/2026,815469
POL-30435943,Private Car Package - Standard,550000,Active,2/27/2026,351678
POL-30455713,Private Car Package - Standard,750000,Active,9/3/2026,603422
POL-30586443,Private Car Package - Zero Depreciation,840000,Flagged,8/24/2025,532369
POL-30651493,Private Car Package - Zero Depreciation,770000,Active,8/15/2026,631526
POL-30733723,Private Car Package - Zero Depreciation,1050000,Active,10/1/2025,800825
POL-30752772,Private Car Package - Standard,550000,Active,2/13/2026,550000
POL-31075849,Private Car Package - Zero Depreciation,770000,Active,1/4/2025,576149
POL-31146783,Private Car Package - Standard,600000,Flagged,1/7/2025,434406
POL-31286383,Private Car Package - Zero Depreciation,770000,Active,5/27/2026,671940
POL-31302012,Private Car Package - Zero Depreciation,489999,Active,2/10/2026,489999
POL-31310487,Private Car Package - Standard,350000,Active,2/21/2025,260527
POL-31363871,Private Car Package - Zero Depreciation,1050000,Active,3/30/2026,1050000
POL-31457500,Private Car Package - Standard,750000,Active,11/17/2026,750000
POL-31467833,Private Car Package - Standard,550000,Active,6/8/2025,550000
POL-31747927,Private Car Package - Standard,600000,Active,11/29/2025,446371
POL-31850193,Private Car Package - Zero Depreciation,770000,Active,11/13/2025,669431
POL-31956718,Private Car Package - Zero Depreciation,840000,Flagged,10/3/2025,707594
POL-32050173,Private Car Package - Standard,600000,Active,8/8/2025,600000
POL-32078324,Private Car Package - Standard,750000,Active,12/25/2025,652169
POL-32210550,Private Car Package - Zero Depreciation,1050000,Active,1/10/2026,932717
POL-32320403,Private Car Package - Zero Depreciation,489999,Active,5/21/2025,412756
POL-32475116,Private Car Package - Standard,550000,Active,9/12/2026,476957
POL-32498693,Private Car Package - Zero Depreciation,550000,Active,1/7/2025,450377
POL-32523899,Private Car Package - Zero Depreciation,750000,Active,11/26/2026,750000
POL-32602239,Private Car Package - Zero Depreciation,489999,Active,5/20/2026,489999
POL-32888290,Private Car Package - Zero Depreciation,770000,Active,5/10/2026,672448
POL-33307013,Private Car Package - Standard,350000,Active,11/9/2026,350000
POL-33499005,Private Car Package - Zero Depreciation,1050000,Active,6/6/2025,1050000
POL-33549945,Private Car Package - Zero Depreciation,770000,Active,6/9/2026,725515
POL-33566667,Private Car Package - Zero Depreciation,489999,Active,6/25/2026,489999
POL-33667349,Private Car Package - Zero Depreciation,489999,Active,8/28/2025,426930
POL-33756375,Private Car Package - Zero Depreciation,1275000,Flagged,11/21/2026,1016445
POL-34098422,Private Car Package - Zero Depreciation,1050000,Flagged,5/10/2025,611774
POL-34191906,Private Car Package - Zero Depreciation,550000,Active,11/25/2026,444913
POL-34298108,Private Car Package - Zero Depreciation,1050000,Active,8/3/2026,993492
POL-34436075,Private Car Package - Zero Depreciation,1050000,Active,5/28/2026,953253
POL-34438953,Private Car Package - Zero Depreciation,935000,Active,3/11/2025,877230
POL-34538273,Private Car Package - Zero Depreciation,1050000,Active,3/17/2025,1050000
POL-34917335,Private Car Package - Zero Depreciation,350000,Active,1/15/2025,350000
POL-34993587,Private Car Package - Zero Depreciation,935000,Active,2/3/2026,798851
POL-35026708,Private Car Package - Standard,600000,Active,10/26/2025,548622
POL-35107258,Private Car Package - Zero Depreciation,350000,Active,7/11/2026,217662
POL-35244683,Private Car Package - Zero Depreciation,770000,Flagged,9/5/2025,615720
POL-35371530,Private Car Package - Zero Depreciation,595000,Active,6/29/2026,500200
POL-35601881,Private Car Package - Zero Depreciation,770000,Active,10/25/2026,692186
POL-35651072,Private Car Package - Standard,750000,Active,5/24/2025,656465
POL-35687050,Private Car Package - Zero Depreciation,1050000,Active,9/9/2026,1050000
POL-35806511,Private Car Package - Zero Depreciation,770000,Active,6/21/2026,713570
POL-35889695,Private Car Package - Standard,350000,Active,5/8/2025,309823
POL-35942583,Private Car Package - Zero Depreciation,489999,Active,4/24/2025,401959
POL-35973599,Private Car Package - Zero Depreciation,935000,Active,7/4/2025,756804
POL-36009734,Private Car Package - Zero Depreciation,770000,Flagged,4/19/2026,434818
POL-36030260,Private Car Package - Zero Depreciation,770000,Active,11/4/2025,722247
POL-36181976,Private Car Package - Zero Depreciation,489999,Active,2/21/2026,419324
POL-36200554,Private Car Package - Zero Depreciation,1050000,Active,5/18/2025,1050000
POL-36212998,Private Car Package - Zero Depreciation,350000,Active,9/7/2025,217251
POL-36252209,Private Car Package - Zero Depreciation,350000,Active,9/5/2025,329051
POL-36269393,Private Car Package - Standard,750000,Active,3/24/2026,750000
POL-36640392,Private Car Package - Zero Depreciation,840000,Active,7/11/2026,706245
POL-36848233,Private Car Package - Zero Depreciation,1275000,Active,3/24/2025,1025397
POL-37208739,Private Car Package - Standard,600000,Active,4/25/2025,545579
POL-37215684,Private Car Package - Zero Depreciation,840000,Active,2/20/2026,840000
POL-37263205,Private Car Package - Standard,350000,Active,7/23/2026,288435
POL-37274588,Private Car Package - Zero Depreciation,840000,Active,1/6/2025,706618
POL-37274614,Private Car Package - Zero Depreciation,750000,Active,5/23/2025,614541
POL-37281889,Private Car Package - Standard,550000,Active,1/24/2025,446822
POL-37589253,Private Car Package - Zero Depreciation,489999,Active,10/17/2025,412173
POL-37950197,Private Car Package - Zero Depreciation,770000,Active,5/28/2025,642460
POL-38162904,Private Car Package - Zero Depreciation,600000,Flagged,10/10/2026,250042
POL-38175014,Private Car Package - Zero Depreciation,350000,Active,1/8/2025,350000
POL-38200554,Private Car Package - Zero Depreciation,1050000,Active,9/26/2026,796954
POL-38268057,Private Car Package - Zero Depreciation,1020000,Active,7/12/2026,926638
POL-38347344,Private Car Package - Zero Depreciation,1050000,Active,5/10/2026,935559
POL-38361026,Private Car Package - Zero Depreciation,750000,Active,10/5/2026,750000
POL-38379428,Private Car Package - Zero Depreciation,840000,Active,2/15/2026,840000
POL-38752519,Private Car Package - Zero Depreciation,550000,Active,3/30/2026,550000
POL-38815840,Private Car Package - Zero Depreciation,840000,Active,9/8/2025,535084
POL-38833093,Private Car Package - Zero Depreciation,840000,Active,2/20/2025,840000
POL-38990176,Private Car Package - Zero Depreciation,595000,Active,3/2/2025,549083
