claim_id,policy_id,total_claims,claim_history_amount,last_claim_reason,claim_request,claim_status
184,184,2,147739,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
185,185,1,36868,"Burglary, Housebreaking or Theft",,
186,186,2,153629,"Fire, Explosion, Self-Ignition or Lightning",,
187,187,2,304916,Riot and Strike,,
188,188,1,57033,"Burglary, Housebreaking or Theft",,
189,189,3,221935,Landslide or Rockslide,,
190,190,0,0,,,
191,191,1,65301,Riot and Strike,,
192,192,2,152518,Malicious Act,,
193,193,2,269031,Terrorist Activity,,
194,194,1,113392,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
195,195,1,121247,"Fire, Explosion, Self-Ignition or Lightning",,
196,196,2,174012,Earthquake (Fire and Shock Damage),,
197,197,0,0,,,
198,198,0,0,,,
199,199,0,0,,,
200,200,0,0,,,
201,201,0,0,,,
202,202,0,0,,,
203,203,1,61110,Terrorist Activity,,
204,204,2,83432,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
205,205,0,0,,,
206,206,0,0,,,
207,207,0,0,,,
208,208,0,0,,,
209,209,0,0,,,
210,210,0,0,,,
211,211,0,0,,,
212,212,1,62784,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
213,213,2,186902,Terrorist Activity,,
214,214,1,63362,Earthquake (Fire and Shock Damage),,
215,215,1,93362,Accidental External Means,,
216,216,2,79774,Earthquake (Fire and Shock Damage),,
217,217,1,107053,Landslide or Rockslide,,
218,218,1,121590,Landslide or Rockslide,,
219,219,0,0,,,
220,220,0,0,,,
221,221,3,118936,"Burglary, Housebreaking or Theft",,
222,222,1,42321,Earthquake (Fire and Shock Damage),,
223,223,0,0,,,
224,224,1,34409,Terrorist Activity,,
225,225,0,0,,,
226,226,1,154206,"Fire, Explosion, Self-Ignition or Lightning",,
227,227,3,104012,Terrorist Activity,,
228,228,2,137698,"Burglary, Housebreaking or Theft",,
229,229,0,0,,,
230,230,0,0,,,
231,231,1,47465,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
232,232,2,179726,Terrorist Activity,,
233,233,0,0,,,
234,234,0,0,,,
235,235,0,0,,,
236,236,0,0,,,
237,237,0,0,,,
238,238,0,0,,,
239,239,0,0,,,
240,240,1,96507,Earthquake (Fire and Shock Damage),,
241,241,2,223743,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
242,242,3,79414,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
243,243,3,165594,Accidental External Means,,
244,244,1,92146,"Fire, Explosion, Self-Ignition or Lightning",,
245,245,1,90679,Terrorist Activity,,
246,246,0,0,,,
247,247,1,67220,Landslide or Rockslide,,
248,248,0,0,,,
249,249,1,44485,Earthquake (Fire and Shock Damage),,
250,250,1,55638,Landslide or Rockslide,,
251,251,2,179920,Malicious Act,,
252,252,3,352094,Earthquake (Fire and Shock Damage),,
253,253,2,327186,"Fire, Explosion, Self-Ignition or Lightning",,
254,254,0,0,,,
255,255,2,122347,"Fire, Explosion, Self-Ignition or Lightning",,
256,256,3,177754,Landslide or Rockslide,,
257,257,0,0,,,
258,258,0,0,,,
259,259,0,0,,,
260,260,2,159889,Malicious Act,,
261,261,2,243327,Riot and Strike,,
262,262,1,46651,Earthquake (Fire and Shock Damage),,
263,263,2,388365,Riot and Strike,,
264,264,1,139478,"Burglary, Housebreaking or Theft",,
265,265,1,147050,Landslide or Rockslide,,
266,266,1,42534,Accidental External Means,,
267,267,2,283489,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
268,268,1,81276,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
269,269,0,0,,,
270,270,1,47419,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
271,271,2,169724,Landslide or Rockslide,,
272,272,0,0,,,
273,273,1,65755,"Burglary, Housebreaking or Theft",,
274,274,1,41349,Terrorist Activity,,
275,275,3,413937,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
276,276,0,0,,,
277,277,1,189992,Malicious Act,,
278,278,1,125265,Landslide or Rockslide,,
279,279,1,82760,Malicious Act,,
280,280,2,303775,Accidental External Means,,
281,281,4,102033,Malicious Act,,
282,282,2,269583,Earthquake (Fire and Shock Damage),,
283,283,3,622837,Riot and Strike,,
284,284,1,92181,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
285,285,2,131820,Landslide or Rockslide,,
286,286,0,0,,,
287,287,1,24840,Earthquake (Fire and Shock Damage),,
288,288,1,100569,Earthquake (Fire and Shock Damage),,
289,289,2,192750,Landslide or Rockslide,,
290,290,1,90756,Malicious Act,,
291,291,0,0,,,
292,292,0,0,,,
293,293,1,91740,Riot and Strike,,
294,294,1,108629,"Burglary, Housebreaking or Theft",,
295,295,0,0,,,
296,296,1,203868,"Burglary, Housebreaking or Theft",,
297,297,0,0,,,
298,298,1,254402,Terrorist Activity,,
299,299,1,33033,"Burglary, Housebreaking or Theft",,
300,300,1,193943,Landslide or Rockslide,,
301,301,0,0,,,
302,302,0,0,,,
303,303,0,0,,,
304,304,1,20949,Landslide or Rockslide,,
305,305,2,195072,Landslide or Rockslide,,
306,306,1,56430,"Burglary, Housebreaking or Theft",,
307,307,0,0,,,
308,308,3,241889,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
309,309,1,61675,"Burglary, Housebreaking or Theft",,
310,310,2,212404,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
311,311,0,0,,,
312,312,1,83660,Terrorist Activity,,
313,313,1,51769,"Fire, Explosion, Self-Ignition or Lightning",,
314,314,0,0,,,
315,315,0,0,,,
316,316,0,0,,,
317,317,3,378536,Malicious Act,,
318,318,0,0,,,
319,319,0,0,,,
320,320,1,65967,Accidental External Means,,
321,321,0,0,,,
322,322,0,0,,,
323,323,0,0,,,
324,324,1,109420,Malicious Act,,
325,325,1,66685,Riot and Strike,,
326,326,1,53674,Earthquake (Fire and Shock Damage),,
327,327,1,73043,"Fire, Explosion, Self-Ignition or Lightning",,
328,328,1,105747,Accidental External Means,,
329,329,1,189283,Malicious Act,,
330,330,3,120083,"Fire, Explosion, Self-Ignition or Lightning",,
331,331,0,0,,,
332,332,2,109191,Landslide or Rockslide,,
333,333,3,347486,"Burglary, Housebreaking or Theft",,
334,334,0,0,,,
335,335,1,66873,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
336,336,0,0,,,
337,337,2,121444,Earthquake (Fire and Shock Damage),,
338,338,0,0,,,
339,339,0,0,,,
340,340,3,247096,Landslide or Rockslide,,
341,341,0,0,,,
342,342,2,191756,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
343,343,0,0,,,
344,344,0,0,,,
345,345,1,84283,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
346,346,0,0,,,
347,347,1,62010,"Burglary, Housebreaking or Theft",,
348,348,1,141708,Landslide or Rockslide,,
349,349,2,111920,"Fire, Explosion, Self-Ignition or Lightning",,
350,350,0,0,,,
351,351,0,0,,,
352,352,0,0,,,
353,353,1,43559,Riot and Strike,,
354,354,1,127540,Landslide or Rockslide,,
355,355,0,0,,,
356,356,0,0,,,
357,357,2,177445,"Burglary, Housebreaking or Theft",,
358,358,0,0,,,
359,359,3,349107,Riot and Strike,,
360,360,1,103178,Terrorist Activity,,
361,361,0,0,,,
362,362,2,156229,Terrorist Activity,,
363,363,4,546328,"Fire, Explosion, Self-Ignition or Lightning",,
364,364,0,0,,,
365,365,1,185270,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
366,366,1,158953,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
367,367,1,81115,Landslide or Rockslide,,
368,368,1,115959,Malicious Act,,
369,369,0,0,,,
370,370,5,376780,"Fire, Explosion, Self-Ignition or Lightning",,
371,371,1,107369,Riot and Strike,,
372,372,0,0,,,
373,373,0,0,,,
374,374,0,0,,,
375,375,1,133320,"Burglary, Housebreaking or Theft",,
376,376,0,0,,,
377,377,1,126456,Landslide or Rockslide,,
378,378,1,140830,Earthquake (Fire and Shock Damage),,
379,379,1,26293,Terrorist Activity,,
380,380,1,99662,Malicious Act,,
381,381,4,363172,"Fire, Explosion, Self-Ignition or Lightning",,
382,382,1,86475,Terrorist Activity,,
383,383,3,356591,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
384,384,1,39942,Earthquake (Fire and Shock Damage),,
385,385,1,79334,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
386,386,0,0,,,
387,387,0,0,,,
388,388,0,0,,,
389,389,2,182336,"Burglary, Housebreaking or Theft",,
390,390,0,0,,,
391,391,2,135164,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
392,392,3,236423,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
393,393,1,113888,Accidental External Means,,
394,394,2,215731,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
395,395,0,0,,,
396,396,0,0,,,
397,397,0,0,,,
398,398,1,44007,"Fire, Explosion, Self-Ignition or Lightning",,
399,399,4,262647,"Fire, Explosion, Self-Ignition or Lightning",,
400,400,2,120662,Accidental External Means,,
401,401,0,0,,,
402,402,0,0,,,
403,403,2,70095,Riot and Strike,,
404,404,1,58318,Earthquake (Fire and Shock Damage),,
405,405,5,173382,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
406,406,1,43591,Riot and Strike,,
407,407,2,81366,Earthquake (Fire and Shock Damage),,
408,408,1,149252,Landslide or Rockslide,,
409,409,1,83316,"Fire, Explosion, Self-Ignition or Lightning",,
410,410,1,127430,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
411,411,1,152707,Earthquake (Fire and Shock Damage),,
412,412,4,737318,Landslide or Rockslide,,
413,413,2,179198,Earthquake (Fire and Shock Damage),,
414,414,0,0,,,
415,415,2,121710,"Burglary, Housebreaking or Theft",,
416,416,0,0,,,
417,417,1,69296,Earthquake (Fire and Shock Damage),,
418,418,3,153541,Terrorist Activity,,
419,419,3,335182,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
420,420,2,160870,"Fire, Explosion, Self-Ignition or Lightning",,
421,421,2,141995,"Burglary, Housebreaking or Theft",,
422,422,1,178196,Malicious Act,,
423,423,1,73261,Malicious Act,,
424,424,1,48063,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
425,425,1,27861,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
426,426,4,491218,"Fire, Explosion, Self-Ignition or Lightning",,
427,427,0,0,,,
428,428,0,0,,,
429,429,1,57946,Malicious Act,,
430,430,2,419094,"Burglary, Housebreaking or Theft",,
431,431,1,36526,"Fire, Explosion, Self-Ignition or Lightning",,
432,432,2,93535,"Fire, Explosion, Self-Ignition or Lightning",,
433,433,2,288944,Landslide or Rockslide,,
434,434,0,0,,,
435,435,2,306135,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
436,436,1,148197,Malicious Act,,
437,437,2,98358,Malicious Act,,
438,438,0,0,,,
439,439,1,138333,Earthquake (Fire and Shock Damage),,
440,440,2,198322,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
441,441,4,292684,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
442,442,0,0,,,
443,443,3,258555,Malicious Act,,
444,444,0,0,,,
445,445,1,84082,Accidental External Means,,
446,446,1,102971,"Burglary, Housebreaking or Theft",,
447,447,0,0,,,
448,448,1,99357,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
449,449,0,0,,,
450,450,0,0,,,
451,451,1,117602,Landslide or Rockslide,,
452,452,0,0,,,
453,453,3,307631,Accidental External Means,,
454,454,0,0,,,
455,455,0,0,,,
456,456,1,96121,Accidental External Means,,
457,457,2,79257,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
458,458,1,22112,"Burglary, Housebreaking or Theft",,
459,459,1,57770,Earthquake (Fire and Shock Damage),,
460,460,1,66214,Terrorist Activity,,
461,461,2,82634,"Fire, Explosion, Self-Ignition or Lightning",,
462,462,0,0,,,
463,463,2,388480,Malicious Act,,
464,464,0,0,,,
465,465,3,429053,Malicious Act,,
466,466,1,47753,Earthquake (Fire and Shock Damage),,
467,467,3,261567,Malicious Act,,
468,468,2,41336,Riot and Strike,,
469,469,0,0,,,
470,470,0,0,,,
471,471,1,68732,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
472,472,1,82542,Accidental External Means,,
473,473,2,236820,Malicious Act,,
474,474,0,0,,,
475,475,3,383126,Riot and Strike,,
476,476,0,0,,,
477,477,0,0,,,
478,478,0,0,,,
479,479,2,271162,Malicious Act,,
480,480,1,98788,Landslide or Rockslide,,
481,481,1,88226,Malicious Act,,
482,482,1,133382,"Burglary, Housebreaking or Theft",,
483,483,3,164743,"Burglary, Housebreaking or Theft",,
484,484,2,220905,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
485,485,2,187274,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
486,486,1,51378,"Fire, Explosion, Self-Ignition or Lightning",,
487,487,1,62355,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
488,488,1,135459,Riot and Strike,,
489,489,1,87263,"Burglary, Housebreaking or Theft",,
490,490,1,83669,"Burglary, Housebreaking or Theft",,
491,491,1,81680,Earthquake (Fire and Shock Damage),,
492,492,1,71023,Malicious Act,,
493,493,2,102521,Malicious Act,,
494,494,0,0,,,
495,495,1,130749,Accidental External Means,,
496,496,1,78414,Earthquake (Fire and Shock Damage),,
497,497,1,57860,Landslide or Rockslide,,
498,498,0,0,,,
499,499,2,370913,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
500,500,3,154280,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
501,501,0,0,,,
502,502,0,0,,,
503,503,2,105207,Accidental External Means,,
504,504,2,150041,Earthquake (Fire and Shock Damage),,
505,505,0,0,,,
506,506,0,0,,,
507,507,2,229398,Earthquake (Fire and Shock Damage),,
508,508,2,267412,Malicious Act,,
509,509,2,114441,"Fire, Explosion, Self-Ignition or Lightning",,
510,510,1,44152,"Burglary, Housebreaking or Theft",,
511,511,2,253495,Terrorist Activity,,
512,512,2,258541,Terrorist Activity,,
513,513,3,436591,"Burglary, Housebreaking or Theft",,
514,514,2,132749,Riot and Strike,,
515,515,2,312548,Malicious Act,,
516,516,1,69288,Malicious Act,,
517,517,2,412809,Malicious Act,,
518,518,2,283610,"Burglary, Housebreaking or Theft",,
519,519,2,208015,Earthquake (Fire and Shock Damage),,
520,520,4,531839,Accidental External Means,,
521,521,0,0,,,
522,522,1,74015,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
523,523,1,162036,Earthquake (Fire and Shock Damage),,
524,524,1,51378,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
525,525,1,45734,Malicious Act,,
526,526,2,251000,Terrorist Activity,,
527,527,2,146252,Landslide or Rockslide,,
528,528,0,0,,,
529,529,1,84564,Terrorist Activity,,
530,530,2,253688,Landslide or Rockslide,,
531,531,3,242862,Earthquake (Fire and Shock Damage),,
532,532,0,0,,,
533,533,2,132338,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
534,534,0,0,,,
535,535,2,229787,Earthquake (Fire and Shock Damage),,
536,536,0,0,,,
537,537,0,0,,,
538,538,1,100773,Riot and Strike,,
539,539,1,132234,Landslide or Rockslide,,
540,540,0,0,,,
541,541,1,45917,Malicious Act,,
542,542,1,96580,Riot and Strike,,
543,543,1,101322,Malicious Act,,
544,544,0,0,,,
545,545,3,83072,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
546,546,3,328735,"Burglary, Housebreaking or Theft",,
547,547,0,0,,,
548,548,0,0,,,
549,549,1,147822,Landslide or Rockslide,,
550,550,2,200494,"Fire, Explosion, Self-Ignition or Lightning",,
551,551,0,0,,,
552,552,2,45031,Malicious Act,,
553,553,1,115912,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
554,554,0,0,,,
555,555,2,63069,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
556,556,0,0,,,
557,557,2,100902,Earthquake (Fire and Shock Damage),,
558,558,1,74086,Accidental External Means,,
559,559,1,161985,Earthquake (Fire and Shock Damage),,
560,560,1,77243,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
561,561,2,167321,Landslide or Rockslide,,
562,562,2,130017,Earthquake (Fire and Shock Damage),,
563,563,0,0,,,
564,564,1,48267,"Burglary, Housebreaking or Theft",,
565,565,0,0,,,
566,566,1,76715,Earthquake (Fire and Shock Damage),,
567,567,0,0,,,
568,568,1,137551,"Transit (Road, Rail, Inland-Waterway, Lift, Elevator or Air)",,
569,569,3,179910,Earthquake (Fire and Shock Damage),,
570,570,3,502732,Landslide or Rockslide,,
571,571,1,80606,Riot and Strike,,
572,572,1,128940,Riot and Strike,,
573,573,0,0,,,
574,574,1,41144,Malicious Act,,
575,575,1,115297,Malicious Act,,
576,576,2,230784,"Flood, Typhoon, Hurricane, Storm, Tempest, Inundation, Cyclone, Hailstorm, Frost",,
577,577,0,0,,,
578,578,4,281333,Malicious Act,,
579,579,0,0,,,
580,580,1,85215,Riot and Strike,,
581,581,2,93559,Accidental External Means,,
582,582,0,0,,,
583,583,1,93366,Malicious Act,,
584,584,1,65728,Landslide or Rockslide,,
585,585,1,98060,"Fire, Explosion, Self-Ignition or Lightning",,
586,586,4,637019,"Burglary, Housebreaking or Theft",,
587,587,0,0,,,
588,588,2,459531,Accidental External Means,,
589,589,2,60895,Malicious Act,,
590,590,1,84833,Accidental External Means,,
