car_number,vehicle_model
KA 79 8821,Hyundai Creta
KA 81 8539,Hyundai Creta
KA 82 6122,Hyundai Creta
KA 82 9624,Maruti Swift
KA 83 1547,Honda City
KA 88 2662,Tata Nexon
KA 89 6989,Honda City
KA 90 0942,Tata Nexon
KA 90 1505,Honda City
KA 90 9106,Tata Nexon
KA 91 5706,Tata Nexon
KA 92 1573,Tata Nexon
KA 97 6573,Maruti Swift
KA 97 6673,Maruti Swift
KA 97 8398,Honda City
KA 97 9864,Tata Nexon
KA 98 9507,Tata Nexon
KA 99 2952,Maruti Swift
KA 99 4992,Maruti Swift
KL 02 7076,Honda City
KL 02 8472,Tata Nexon
KL 03 8020,Tata Nexon
KL 07 9175,Honda City
KL 09 0451,Honda City
KL 11 8669,Honda City
KL 12 0530,Honda City
KL 15 8821,Honda City
KL 16 9788,Hyundai Creta
KL 17 1332,Maruti Swift
KL 19 4927,Hyundai Creta
KL 21 4295,Hyundai Creta
KL 24 1042,Honda City
KL 25 9399,Honda City
KL 29 5233,Hyundai Creta
KL 29 6447,Maruti Swift
KL 30 0435,Honda City
KL 30 4717,Honda City
KL 31 0771,Hyundai Creta
KL 32 1303,Tata Nexon
KL 38 6569,Maruti Swift
KL 38 6923,Hyundai Creta
KL 41 2002,Tata Nexon
KL 42 0034,Hyundai Creta
KL 44 6086,Hyundai Creta
KL 44 9662,Maruti Swift
KL 44 9869,Hyundai Creta
KL 45 0316,Maruti Swift
KL 45 6969,Hyundai Creta
KL 46 0553,Tata Nexon
KL 46 5461,Honda City
KL 46 9801,Hyundai Creta
KL 48 2410,Hyundai Creta
KL 49 2590,Maruti Swift
KL 50 5007,Hyundai Creta
KL 50 5130,Honda City
KL 50 6042,Hyundai Creta
KL 52 4052,Hyundai Creta
KL 53 0831,Hyundai Creta
KL 54 8088,Tata Nexon
KL 56 1530,Honda City
KL 57 0240,Hyundai Creta
KL 59 8558,Hyundai Creta
KL 60 5556,Tata Nexon
KL 60 7744,Maruti Swift
KL 64 3332,Maruti Swift
KL 65 2831,Tata Nexon
KL 66 8629,Maruti Swift
KL 68 6291,Honda City
KL 69 7397,Tata Nexon
KL 70 3697,Hyundai Creta
KL 74 8670,Honda City
KL 75 1148,Hyundai Creta
KL 75 7175,Hyundai Creta
KL 76 4836,Honda City
KL 77 4785,Honda City
KL 78 6705,Tata Nexon
KL 81 1812,Maruti Swift
KL 81 9282,Maruti Swift
KL 83 4608,Tata Nexon
KL 83 6031,Tata Nexon
KL 85 8693,Hyundai Creta
KL 87 0931,Hyundai Creta
KL 87 1627,Honda City
KL 88 2011,Maruti Swift
KL 88 2265,Hyundai Creta
KL 90 9140,Maruti Swift
KL 91 0740,Hyundai Creta
KL 92 2142,Honda City
KL 93 3544,Hyundai Creta
KL 94 4647,Tata Nexon
KL 95 6024,Honda City
KL 96 5511,Hyundai Creta
KL 96 9774,Tata Nexon
KL 97 9426,Maruti Swift
MH 04 1918,Honda City
MH 04 9596,Hyundai Creta
MH 05 4519,Honda City
MH 05 5960,Honda City
MH 06 0119,Hyundai Creta
MH 07 0137,Maruti Swift
MH 10 8686,Honda City
MH 10 9746,Honda City
MH 12 4157,Honda City
MH 14 1446,Honda City
MH 14 2261,Hyundai Creta
MH 15 3642,Honda City
MH 16 1000,Tata Nexon
MH 16 4984,Hyundai Creta
MH 16 6060,Tata Nexon
MH 18 6254,Hyundai Creta
MH 19 1192,Honda City
MH 19 5878,Hyundai Creta
MH 20 4275,Hyundai Creta
MH 21 6603,Tata Nexon
MH 23 7325,Honda City
MH 25 1416,Hyundai Creta
MH 26 9839,Maruti Swift
MH 28 8474,Maruti Swift
MH 31 1712,Honda City
MH 33 3170,Maruti Swift
MH 33 7776,Tata Nexon
MH 33 9362,Hyundai Creta
MH 36 5448,Tata Nexon
MH 38 4379,Honda City
MH 38 7495,Honda City
MH 39 5772,Hyundai Creta
MH 41 7561,Honda City
MH 41 7971,Maruti Swift
MH 42 1438,Hyundai Creta
MH 44 2689,Tata Nexon
MH 45 2736,Hyundai Creta
MH 45 7673,Maruti Swift
MH 50 5960,Hyundai Creta
MH 50 8816,Honda City
MH 51 8359,Maruti Swift
MH 53 8582,Maruti Swift
MH 54 1616,Hyundai Creta
MH 54 6972,Honda City
MH 54 8486,Tata Nexon
MH 55 8138,Maruti Swift
MH 57 4172,Maruti Swift
MH 57 6146,Tata Nexon
MH 59 6180,Hyundai Creta
MH 59 8970,Maruti Swift
MH 60 6663,Maruti Swift
MH 65 0647,Honda City
MH 65 1566,Maruti Swift
MH 65 2875,Maruti Swift
MH 66 2694,Honda City
MH 66 9368,Tata Nexon
MH 67 7183,Tata Nexon
MH 67 9564,Hyundai Creta
MH 68 1488,Tata Nexon
MH 68 6581,Maruti Swift
MH 72 1071,Tata Nexon
MH 79 1352,Maruti Swift
MH 79 6440,Honda City
MH 81 3933,Tata Nexon
MH 82 9174,Maruti Swift
MH 85 7451,Honda City
MH 86 4158,Hyundai Creta
MH 87 3042,Maruti Swift
MH 88 9167,Hyundai Creta
MH 93 2318,Honda City
MH 94 5884,Honda City
MH 96 9273,Honda City
MH 97 5241,Tata Nexon
MH 98 8732,Tata Nexon
MP 01 3898,Tata Nexon
MP 03 0159,Tata Nexon
MP 03 1188,Honda City
MP 03 2332,Maruti Swift
MP 04 8833,Hyundai Creta
MP 08 0668,Honda City
MP 08 8109,Honda City
MP 10 9324,Honda City
MP 12 9552,Maruti Swift
MP 15 2858,Tata Nexon
MP 17 0850,Tata Nexon
MP 18 8041,Hyundai Creta
MP 20 8020,Hyundai Creta
MP 20 9543,Hyundai Creta
MP 21 6189,Honda City
MP 21 9977,Maruti Swift
MP 27 4494,Honda City
MP 28 9965,Tata Nexon
MP 31 2890,Hyundai Creta
MP 31 7627,Maruti Swift
MP 33 4815,Hyundai Creta
MP 35 5435,Maruti Swift
MP 36 2586,Honda City
MP 36 4772,Tata Nexon
MP 37 4554,Tata Nexon
MP 39 3120,Tata Nexon
MP 39 9123,Honda City
MP 43 9421,Hyundai Creta
MP 44 2383,Maruti Swift
MP 44 6882,Hyundai Creta
MP 44 7289,Tata Nexon
MP 45 7249,Hyundai Creta
MP 45 7438,Honda City
MP 54 5551,Tata Nexon
MP 55 7247,Maruti Swift
MP 56 8592,Honda City
MP 57 4563,Hyundai Creta
MP 57 5329,Honda City
MP 58 6925,Hyundai Creta
MP 59 8555,Tata Nexon
MP 60 4903,Honda City
MP 60 7718,Maruti Swift
MP 61 2518,Maruti Swift
MP 64 2322,Honda City
MP 65 6064,Maruti Swift
MP 68 4952,Honda City
MP 68 5293,Tata Nexon
MP 69 1967,Maruti Swift
MP 70 0491,Hyundai Creta
MP 72 1181,Maruti Swift
MP 76 4153,Hyundai Creta
MP 77 5177,Honda City
MP 77 9386,Hyundai Creta
MP 79 0633,Maruti Swift
MP 80 9859,Honda City
MP 81 4755,Maruti Swift
MP 81 5588,Maruti Swift
MP 83 2323,Hyundai Creta
MP 87 0233,Hyundai Creta
MP 88 7760,Tata Nexon
MP 88 8911,Honda City
MP 89 1746,Honda City
MP 90 9283,Maruti Swift
MP 91 4121,Hyundai Creta
MP 91 7673,Hyundai Creta
MP 94 2932,Tata Nexon
MP 94 8501,Hyundai Creta
MP 94 9581,Maruti Swift
MP 94 9854,Hyundai Creta
MP 95 9756,Honda City
MP 97 4670,Tata Nexon
MP 98 1661,Honda City
MP 98 7107,Hyundai Creta
MP 98 7925,Tata Nexon
MP 98 8851,Maruti Swift
MP 99 2857,Maruti Swift
PB 01 0333,Tata Nexon
PB 03 5142,Hyundai Creta
PB 04 3866,Honda City
PB 05 5182,Tata Nexon
PB 06 4947,Hyundai Creta
PB 07 3504,Tata Nexon
PB 09 3981,Tata Nexon
PB 10 2974,Maruti Swift
PB 10 4648,Hyundai Creta
PB 11 6600,Hyundai Creta
PB 13 7816,Maruti Swift
PB 15 4489,Honda City
PB 17 0702,Maruti Swift
PB 18 1130,Honda City
PB 21 8341,Honda City
PB 22 9576,Hyundai Creta
PB 23 5902,Honda City
PB 24 3486,Honda City
PB 30 3920,Tata Nexon
PB 30 6437,Tata Nexon
PB 31 6497,Honda City
PB 32 1682,Honda City
PB 32 7207,Maruti Swift
PB 32 7721,Tata Nexon
PB 33 8228,Maruti Swift
PB 36 0299,Maruti Swift
PB 37 1959,Tata Nexon
PB 38 4516,Tata Nexon
PB 39 4678,Hyundai Creta
PB 39 7997,Tata Nexon
PB 42 3276,Hyundai Creta
PB 42 4683,Maruti Swift
PB 46 1869,Maruti Swift
PB 46 4659,Maruti Swift
PB 46 7953,Tata Nexon
PB 46 8604,Tata Nexon
PB 47 0100,Tata Nexon
PB 49 6183,Honda City
PB 51 2278,Tata Nexon
PB 56 6067,Hyundai Creta
PB 56 6310,Maruti Swift
PB 60 6615,Hyundai Creta
PB 63 1306,Maruti Swift
PB 63 5622,Maruti Swift
PB 64 3595,Hyundai Creta
PB 65 0806,Maruti Swift
PB 65 6279,Tata Nexon
PB 65 7099,Tata Nexon
PB 67 4186,Honda City
PB 68 5535,Honda City
PB 69 7285,Maruti Swift
PB 72 6109,Tata Nexon
PB 73 3023,Honda City
PB 73 3628,Maruti Swift
PB 73 6511,Tata Nexon
PB 73 9288,Honda City
PB 74 3359,Hyundai Creta
PB 74 3546,Tata Nexon
PB 77 7011,Honda City
PB 81 1729,Tata Nexon
PB 82 0650,Honda City
PB 83 4715,Hyundai Creta
PB 84 4643,Honda City
PB 84 6413,Hyundai Creta
PB 84 9513,Hyundai Creta
PB 85 5848,Tata Nexon
PB 86 3431,Hyundai Creta
PB 86 4326,Honda City
PB 86 6870,Maruti Swift
PB 87 1082,Maruti Swift
PB 89 1321,Maruti Swift
PB 89 2132,Maruti Swift
PB 89 7847,Hyundai Creta
PB 90 9250,Hyundai Creta
PB 93 7467,Hyundai Creta
PB 93 8972,Tata Nexon
PB 94 1104,Tata Nexon
PB 96 3190,Tata Nexon
PB 97 4762,Maruti Swift
RJ 01 8871,Tata Nexon
RJ 02 2557,Hyundai Creta
RJ 02 3739,Hyundai Creta
RJ 03 4685,Honda City
RJ 06 9433,Tata Nexon
RJ 07 5770,Hyundai Creta
RJ 07 9044,Honda City
RJ 09 2075,Tata Nexon
RJ 09 8821,Maruti Swift
RJ 13 7615,Hyundai Creta
RJ 14 8647,Hyundai Creta
RJ 14 9290,Honda City
RJ 15 6856,Maruti Swift
RJ 15 7650,Hyundai Creta
RJ 20 2168,Tata Nexon
RJ 21 5753,Hyundai Creta
RJ 21 9248,Maruti Swift
RJ 22 0133,Tata Nexon
RJ 23 6637,Honda City
RJ 23 8125,Honda City
RJ 25 8176,Tata Nexon
RJ 26 6853,Honda City
RJ 27 6301,Maruti Swift
RJ 28 0990,Maruti Swift
RJ 29 2784,Honda City
RJ 30 9401,Tata Nexon
RJ 31 6074,Maruti Swift
RJ 31 7807,Honda City
RJ 32 7687,Maruti Swift
RJ 32 9130,Maruti Swift
RJ 33 5084,Hyundai Creta
RJ 35 4612,Hyundai Creta
RJ 35 6348,Tata Nexon
RJ 36 6683,Honda City
RJ 36 9806,Honda City
RJ 37 3003,Maruti Swift
RJ 38 0395,Hyundai Creta
RJ 38 1234,Maruti Swift
RJ 38 4829,Tata Nexon
RJ 38 6843,Hyundai Creta
RJ 39 0869,Honda City
RJ 43 4662,Maruti Swift
RJ 44 9854,Tata Nexon
RJ 45 1897,Hyundai Creta
RJ 45 5134,Tata Nexon
RJ 45 5183,Hyundai Creta
RJ 46 6072,Maruti Swift
RJ 46 9866,Maruti Swift
RJ 47 7186,Honda City
RJ 48 3334,Hyundai Creta
RJ 49 2015,Hyundai Creta
RJ 49 8934,Hyundai Creta
RJ 50 5922,Tata Nexon
RJ 52 0394,Hyundai Creta
RJ 52 5900,Tata Nexon
RJ 54 3350,Hyundai Creta
RJ 55 3680,Maruti Swift
RJ 56 9701,Tata Nexon
RJ 57 4073,Maruti Swift
RJ 61 3726,Honda City
RJ 61 5205,Maruti Swift
RJ 64 0972,Maruti Swift
RJ 64 7506,Honda City
RJ 65 3054,Hyundai Creta
RJ 69 6953,Maruti Swift
RJ 72 3201,Tata Nexon
RJ 73 2969,Honda City
RJ 75 1502,Tata Nexon
RJ 75 7419,Maruti Swift
RJ 76 2206,Hyundai Creta
RJ 76 7198,Maruti Swift
RJ 78 7073,Tata Nexon
RJ 79 8914,Honda City
RJ 87 7439,Hyundai Creta
RJ 89 1494,Hyundai Creta
RJ 89 6909,Tata Nexon
RJ 90 2715,Hyundai Creta
RJ 92 3665,Honda City
RJ 94 3476,Tata Nexon
RJ 95 0683,Tata Nexon
RJ 95 3215,Honda City
RJ 96 1888,Maruti Swift
RJ 96 3053,Hyundai Creta
RJ 96 5193,Tata Nexon
TN 03 8787,Honda City
TN 04 1343,Hyundai Creta
TN 07 7561,Hyundai Creta
TN 07 8665,Tata Nexon
TN 09 9610,Hyundai Creta
TN 10 6606,Honda City
TN 12 6460,Tata Nexon
TN 13 7954,Honda City
TN 16 0515,Hyundai Creta
TN 21 5701,Honda City
TN 21 8468,Hyundai Creta
TN 21 9485,Tata Nexon
TN 21 9861,Tata Nexon
TN 22 4918,Maruti Swift
TN 22 7401,Tata Nexon
TN 25 7747,Maruti Swift
TN 27 1474,Tata Nexon
TN 27 4345,Tata Nexon
TN 27 7257,Hyundai Creta
TN 27 8626,Honda City
TN 29 1405,Maruti Swift
TN 30 7674,Honda City
TN 31 6056,Maruti Swift
TN 32 0303,Maruti Swift
TN 34 5542,Tata Nexon
TN 35 4867,Tata Nexon
TN 39 8062,Tata Nexon
TN 40 3515,Hyundai Creta
TN 41 9255,Maruti Swift
TN 42 5439,Tata Nexon
TN 43 3303,Maruti Swift
TN 43 3381,Maruti Swift
TN 43 6854,Hyundai Creta
TN 43 7849,Tata Nexon
TN 46 1094,Tata Nexon
TN 46 9135,Maruti Swift
TN 47 5958,Honda City
TN 51 6923,Hyundai Creta
TN 53 3487,Honda City
TN 54 5062,Hyundai Creta
TN 54 5096,Maruti Swift
TN 54 6066,Hyundai Creta
TN 56 2240,Honda City
TN 57 3222,Honda City
TN 57 4897,Honda City
TN 58 2376,Hyundai Creta
TN 60 2349,Hyundai Creta
TN 60 2771,Honda City
TN 60 8785,Tata Nexon
TN 63 2150,Hyundai Creta
TN 65 2553,Hyundai Creta
TN 65 9290,Tata Nexon
TN 69 8097,Hyundai Creta
TN 70 0780,Tata Nexon
TN 72 2184,Honda City
TN 72 9037,Hyundai Creta
TN 73 3863,Hyundai Creta
TN 73 3978,Tata Nexon
TN 75 5644,Tata Nexon
TN 76 3385,Honda City
TN 76 5032,Maruti Swift
TN 77 0512,Maruti Swift
TN 77 2874,Maruti Swift
TN 77 4580,Honda City
TN 77 5585,Tata Nexon
TN 78 1813,Honda City
TN 79 1124,Honda City
TN 83 2969,Tata Nexon
TN 83 5727,Hyundai Creta
TN 83 8476,Hyundai Creta
TN 84 4308,Tata Nexon
TN 85 2397,Hyundai Creta
TN 86 5533,Hyundai Creta
TN 87 6596,Maruti Swift
TN 88 4771,Hyundai Creta
TN 89 7547,Honda City
TN 91 3213,Hyundai Creta
TN 92 0781,Maruti Swift
TN 92 3940,Honda City
TN 95 4336,Maruti Swift
TN 96 6425,Honda City
TN 97 5150,Tata Nexon
TS 02 7540,Maruti Swift
TS 03 6529,Honda City
TS 05 1682,Maruti Swift
TS 05 7402,Tata Nexon
TS 09 9657,Honda City
TS 10 0646,Hyundai Creta
TS 11 0151,Honda City
TS 11 0479,Tata Nexon
TS 11 3640,Tata Nexon
TS 14 3663,Maruti Swift
TS 15 1102,Tata Nexon
TS 16 9428,Tata Nexon
TS 19 7708,Hyundai Creta
TS 21 5401,Honda City
TS 25 7829,Tata Nexon
TS 27 1892,Honda City
TS 27 5566,Tata Nexon
TS 30 9916,Maruti Swift
TS 38 9162,Hyundai Creta
TS 40 2247,Maruti Swift
TS 43 6096,Hyundai Creta
TS 43 8196,Honda City
TS 45 8839,Maruti Swift
TS 46 1062,Honda City
TS 46 5223,Hyundai Creta
TS 50 3167,Tata Nexon
TS 51 3612,Tata Nexon
TS 52 2354,Honda City
TS 52 8176,Honda City
TS 53 7801,Honda City
TS 54 7989,Tata Nexon
TS 57 3165,Hyundai Creta
TS 57 7068,Honda City
TS 58 4846,Maruti Swift
TS 58 7831,Hyundai Creta
TS 59 6412,Hyundai Creta
TS 62 1912,Hyundai Creta
TS 62 7818,Honda City
TS 63 6634,Tata Nexon
TS 67 4158,Tata Nexon
TS 70 3808,Hyundai Creta
TS 71 0550,Tata Nexon
TS 71 6467,Hyundai Creta
TS 74 2538,Honda City
TS 75 1085,Maruti Swift
TS 75 4406,Tata Nexon
TS 76 2931,Maruti Swift
TS 76 6833,Honda City
TS 78 7107,Tata Nexon
TS 79 1632,Hyundai Creta
TS 79 6870,Maruti Swift
TS 86 1878,Honda City
TS 86 2923,Honda City
TS 87 2554,Hyundai Creta
TS 88 1785,Hyundai Creta
TS 92 9270,Tata Nexon
TS 93 1937,Hyundai Creta
TS 95 3379,Hyundai Creta
TS 98 1035,Hyundai Creta
TS 98 1732,Maruti Swift
TS 99 3500,Maruti Swift
TS 99 8449,Tata Nexon
UP 04 2368,Honda City
UP 04 2567,Tata Nexon
UP 04 6912,Honda City
UP 07 2200,Honda City
UP 07 3381,Honda City
UP 09 8442,Hyundai Creta
UP 10 0706,Tata Nexon
UP 10 1938,Hyundai Creta
UP 16 6462,Maruti Swift
UP 17 1027,Honda City
UP 18 4857,Honda City
UP 21 4969,Maruti Swift
UP 22 0305,Tata Nexon
UP 22 2444,Maruti Swift
UP 26 4724,Honda City
UP 28 4141,Hyundai Creta
UP 30 8988,Maruti Swift
UP 31 7336,Honda City
UP 31 8188,Tata Nexon
UP 32 5304,Hyundai Creta
UP 35 0885,Hyundai Creta
UP 35 0940,Tata Nexon
UP 36 5483,Honda City
UP 37 0725,Hyundai Creta
UP 37 9765,Hyundai Creta
UP 38 5396,Hyundai Creta
UP 39 2389,Honda City
UP 40 9909,Honda City
UP 45 7802,Honda City
